row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
As,As,25,25,1.0
As,B,0,25,0.0
As,Br,0,25,0.0
As,C,25,25,1.0
As,Cl,0,25,0.0
As,Co,0,25,0.0
As,F,0,25,0.0
As,Fe,0,25,0.0
As,H,25,25,1.0
As,I,0,25,0.0
As,K,0,25,0.0
As,Mg,0,25,0.0
As,N,21,25,0.84
As,Na,0,25,0.0
As,O,25,25,1.0
As,P,0,25,0.0
As,S,10,25,0.4
As,Se,0,25,0.0
As,Si,0,25,0.0
B,As,0,136,0.0
B,B,136,136,1.0
B,Br,8,136,0.058823529411764705
B,C,136,136,1.0
B,Cl,21,136,0.15441176470588236
B,Co,0,136,0.0
B,F,36,136,0.2647058823529412
B,Fe,0,136,0.0
B,H,136,136,1.0
B,I,0,136,0.0
B,K,0,136,0.0
B,Mg,0,136,0.0
B,N,121,136,0.8897058823529411
B,Na,0,136,0.0
B,O,136,136,1.0
B,P,0,136,0.0
B,S,12,136,0.08823529411764706
B,Se,0,136,0.0
B,Si,0,136,0.0
Br,As,0,4212,0.0
Br,B,8,4212,0.001899335232668566
Br,Br,4212,4212,1.0
Br,C,4212,4212,1.0
Br,Cl,235,4212,0.05579297245963913
Br,Co,0,4212,0.0
Br,F,460,4212,0.10921177587844255
Br,Fe,0,4212,0.0
Br,H,4212,4212,1.0
Br,I,6,4212,0.0014245014245014246
Br,K,0,4212,0.0
Br,Mg,0,4212,0.0
Br,N,3924,4212,0.9316239316239316
Br,Na,0,4212,0.0
Br,O,3945,4212,0.9366096866096866
Br,P,10,4212,0.0023741690408357074
Br,S,770,4212,0.18281101614434947
Br,Se,0,4212,0.0
Br,Si,0,4212,0.0
C,As,25,443905,0.000056318356405086676
C,B,136,443905,0.0003063718588436715
C,Br,4212,443905,0.009488516687129004
C,C,443905,443905,1.0
C,Cl,27230,443905,0.061341953796420406
C,Co,16,443905,0.00003604374809925547
C,F,40395,443905,0.09099920027933905
C,Fe,6,443905,0.000013516405537220801
C,H,443900,443905,0.999988736328719
C,I,1338,443905,0.0030141584348002386
C,K,85,443905,0.0001914824117772947
C,Mg,1,443905,2.252734256203467e-6
C,N,287885,443905,0.6485284013471351
C,Na,514,443905,0.001157905407688582
C,O,429026,443905,0.9664815670019486
C,P,15524,443905,0.03497144659330262
C,S,55987,443905,0.12612383280206352
C,Se,67,443905,0.00015093319516563229
C,Si,77,443905,0.00017346053772766696
Cl,As,0,27230,0.0
Cl,B,21,27230,0.0007712082262210797
Cl,Br,235,27230,0.008630187293426368
Cl,C,27230,27230,1.0
Cl,Cl,27230,27230,1.0
Cl,Co,0,27230,0.0
Cl,F,4737,27230,0.1739625413147264
Cl,Fe,0,27230,0.0
Cl,H,27227,27230,0.9998898273962541
Cl,I,70,27230,0.002570694087403599
Cl,K,1,27230,0.000036724201248622845
Cl,Mg,0,27230,0.0
Cl,N,25325,27230,0.9300403966213735
Cl,Na,3,27230,0.00011017260374586853
Cl,O,25381,27230,0.9320969518912964
Cl,P,337,27230,0.012376055820785898
Cl,S,4785,27230,0.1757253029746603
Cl,Se,0,27230,0.0
Cl,Si,1,27230,0.000036724201248622845
Co,As,0,16,0.0
Co,B,0,16,0.0
Co,Br,0,16,0.0
Co,C,16,16,1.0
Co,Cl,0,16,0.0
Co,Co,16,16,1.0
Co,F,0,16,0.0
Co,Fe,0,16,0.0
Co,H,16,16,1.0
Co,I,0,16,0.0
Co,K,0,16,0.0
Co,Mg,0,16,0.0
Co,N,16,16,1.0
Co,Na,0,16,0.0
Co,O,16,16,1.0
Co,P,0,16,0.0
Co,S,0,16,0.0
Co,Se,0,16,0.0
Co,Si,0,16,0.0
F,As,0,40395,0.0
F,B,36,40395,0.0008911994058670628
F,Br,460,40395,0.011387547963856912
F,C,40395,40395,1.0
F,Cl,4737,40395,0.11726698848867434
F,Co,0,40395,0.0
F,F,40395,40395,1.0
F,Fe,0,40395,0.0
F,H,40395,40395,1.0
F,I,249,40395,0.006164129223913851
F,K,0,40395,0.0
F,Mg,0,40395,0.0
F,N,38407,40395,0.9507859883648967
F,Na,2,40395,0.00004951107810372571
F,O,38675,40395,0.9574204728307959
F,P,376,40395,0.009308082683500434
F,S,7190,40395,0.17799232578289392
F,Se,2,40395,0.00004951107810372571
F,Si,51,40395,0.0012625324916450055
Fe,As,0,6,0.0
Fe,B,0,6,0.0
Fe,Br,0,6,0.0
Fe,C,6,6,1.0
Fe,Cl,0,6,0.0
Fe,Co,0,6,0.0
Fe,F,0,6,0.0
Fe,Fe,6,6,1.0
Fe,H,6,6,1.0
Fe,I,0,6,0.0
Fe,K,0,6,0.0
Fe,Mg,0,6,0.0
Fe,N,6,6,1.0
Fe,Na,0,6,0.0
Fe,O,6,6,1.0
Fe,P,0,6,0.0
Fe,S,0,6,0.0
Fe,Se,0,6,0.0
Fe,Si,0,6,0.0
H,As,25,443900,0.000056318990763685515
H,B,136,443900,0.0003063753097544492
H,Br,4212,443900,0.009488623563865735
H,C,443900,443900,1.0
H,Cl,27227,443900,0.06133588646091462
H,Co,16,443900,0.00003604415408875873
H,F,40395,443900,0.09100022527596305
H,Fe,6,443900,0.000013516557783284524
H,H,443900,443900,1.0
H,I,1338,443900,0.0030141923856724486
H,K,85,443900,0.00019148456859653074
H,Mg,1,443900,2.2527596305474206e-6
H,N,287883,443900,0.6485312007208831
H,Na,514,443900,0.0011579184501013741
H,O,429021,443900,0.9664811894570849
H,P,15524,443900,0.03497184050461816
H,S,55987,443900,0.12612525343545844
H,Se,67,443900,0.00015093489524667717
H,Si,77,443900,0.00017346249155215137
I,As,0,1338,0.0
I,B,0,1338,0.0
I,Br,6,1338,0.004484304932735426
I,C,1338,1338,1.0
I,Cl,70,1338,0.052316890881913304
I,Co,0,1338,0.0
I,F,249,1338,0.1860986547085202
I,Fe,0,1338,0.0
I,H,1338,1338,1.0
I,I,1338,1338,1.0
I,K,0,1338,0.0
I,Mg,0,1338,0.0
I,N,1299,1338,0.9708520179372198
I,Na,0,1338,0.0
I,O,1263,1338,0.9439461883408071
I,P,0,1338,0.0
I,S,47,1338,0.035127055306427506
I,Se,0,1338,0.0
I,Si,0,1338,0.0
K,As,0,85,0.0
K,B,0,85,0.0
K,Br,0,85,0.0
K,C,85,85,1.0
K,Cl,1,85,0.011764705882352941
K,Co,0,85,0.0
K,F,0,85,0.0
K,Fe,0,85,0.0
K,H,85,85,1.0
K,I,0,85,0.0
K,K,85,85,1.0
K,Mg,0,85,0.0
K,N,52,85,0.611764705882353
K,Na,0,85,0.0
K,O,85,85,1.0
K,P,0,85,0.0
K,S,51,85,0.6
K,Se,0,85,0.0
K,Si,0,85,0.0
Mg,As,0,1,0.0
Mg,B,0,1,0.0
Mg,Br,0,1,0.0
Mg,C,1,1,1.0
Mg,Cl,0,1,0.0
Mg,Co,0,1,0.0
Mg,F,0,1,0.0
Mg,Fe,0,1,0.0
Mg,H,1,1,1.0
Mg,I,0,1,0.0
Mg,K,0,1,0.0
Mg,Mg,1,1,1.0
Mg,N,1,1,1.0
Mg,Na,0,1,0.0
Mg,O,1,1,1.0
Mg,P,0,1,0.0
Mg,S,1,1,1.0
Mg,Se,0,1,0.0
Mg,Si,0,1,0.0
N,As,21,287885,0.00007294579432759609
N,B,121,287885,0.0004203067196971013
N,Br,3924,287885,0.013630442711499383
N,C,287885,287885,1.0
N,Cl,25325,287885,0.08796915434982719
N,Co,16,287885,0.00005557774805912083
N,F,38407,287885,0.13341091060666585
N,Fe,6,287885,0.00002084165552217031
N,H,287883,287885,0.9999930527814926
N,I,1299,287885,0.004512218420549872
N,K,52,287885,0.0001806276811921427
N,Mg,1,287885,3.473609253695052e-6
N,N,287885,287885,1.0
N,Na,269,287885,0.000934400889243969
N,O,274660,287885,0.9540615176198829
N,P,13815,287885,0.04798791183979714
N,S,54263,287885,0.1884884589332546
N,Se,67,287885,0.00023273181999756848
N,Si,70,287885,0.00024315264775865363
Na,As,0,514,0.0
Na,B,0,514,0.0
Na,Br,0,514,0.0
Na,C,514,514,1.0
Na,Cl,3,514,0.005836575875486381
Na,Co,0,514,0.0
Na,F,2,514,0.0038910505836575876
Na,Fe,0,514,0.0
Na,H,514,514,1.0
Na,I,0,514,0.0
Na,K,0,514,0.0
Na,Mg,0,514,0.0
Na,N,269,514,0.5233463035019456
Na,Na,514,514,1.0
Na,O,514,514,1.0
Na,P,71,514,0.13813229571984437
Na,S,76,514,0.14785992217898833
Na,Se,0,514,0.0
Na,Si,0,514,0.0
O,As,25,429026,0.000058271526667381464
O,B,136,429026,0.0003169971050705552
O,Br,3945,429026,0.009195246908112796
O,C,429026,429026,1.0
O,Cl,25381,429026,0.059159584733792354
O,Co,16,429026,0.00003729377706712414
O,F,38675,429026,0.09014605175443913
O,Fe,6,429026,0.000013985166400171551
O,H,429021,429026,0.9999883456946665
O,I,1263,429026,0.0029438775272361117
O,K,85,429026,0.00019812319066909697
O,Mg,1,429026,2.3308610666952586e-6
O,N,274660,429026,0.6401943005785197
O,Na,514,429026,0.0011980625882813628
O,O,429026,429026,1.0
O,P,15499,429026,0.036126015672709816
O,S,53028,429026,0.12360090064471617
O,Se,61,429026,0.00014218252506841076
O,Si,28,429026,0.00006526410986746723
P,As,0,15524,0.0
P,B,0,15524,0.0
P,Br,10,15524,0.0006441638752898738
P,C,15524,15524,1.0
P,Cl,337,15524,0.021708322597268744
P,Co,0,15524,0.0
P,F,376,15524,0.024220561710899254
P,Fe,0,15524,0.0
P,H,15524,15524,1.0
P,I,0,15524,0.0
P,K,0,15524,0.0
P,Mg,0,15524,0.0
P,N,13815,15524,0.8899123937129606
P,Na,71,15524,0.004573563514558104
P,O,15499,15524,0.9983895903117753
P,P,15524,15524,1.0
P,S,946,15524,0.06093790260242206
P,Se,0,15524,0.0
P,Si,0,15524,0.0
S,As,10,55987,0.00017861289227856468
S,B,12,55987,0.0002143354707342776
S,Br,770,55987,0.01375319270544948
S,C,55987,55987,1.0
S,Cl,4785,55987,0.08546626895529319
S,Co,0,55987,0.0
S,F,7190,55987,0.128422669548288
S,Fe,0,55987,0.0
S,H,55987,55987,1.0
S,I,47,55987,0.0008394805937092539
S,K,51,55987,0.0009109257506206798
S,Mg,1,55987,0.000017861289227856465
S,N,54263,55987,0.9692071373711755
S,Na,76,55987,0.0013574579813170915
S,O,53028,55987,0.9471484451747727
S,P,946,55987,0.01689677960955222
S,S,55987,55987,1.0
S,Se,0,55987,0.0
S,Si,0,55987,0.0
Se,As,0,67,0.0
Se,B,0,67,0.0
Se,Br,0,67,0.0
Se,C,67,67,1.0
Se,Cl,0,67,0.0
Se,Co,0,67,0.0
Se,F,2,67,0.029850746268656716
Se,Fe,0,67,0.0
Se,H,67,67,1.0
Se,I,0,67,0.0
Se,K,0,67,0.0
Se,Mg,0,67,0.0
Se,N,67,67,1.0
Se,Na,0,67,0.0
Se,O,61,67,0.9104477611940298
Se,P,0,67,0.0
Se,S,0,67,0.0
Se,Se,67,67,1.0
Se,Si,0,67,0.0
Si,As,0,77,0.0
Si,B,0,77,0.0
Si,Br,0,77,0.0
Si,C,77,77,1.0
Si,Cl,1,77,0.012987012987012988
Si,Co,0,77,0.0
Si,F,51,77,0.6623376623376623
Si,Fe,0,77,0.0
Si,H,77,77,1.0
Si,I,0,77,0.0
Si,K,0,77,0.0
Si,Mg,0,77,0.0
Si,N,70,77,0.9090909090909091
Si,Na,0,77,0.0
Si,O,28,77,0.36363636363636365
Si,P,0,77,0.0
Si,S,0,77,0.0
Si,Se,0,77,0.0
Si,Si,77,77,1.0
